	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
RTCA	1.66104698436198	0.90070437678346	0.0619258983357684	14.5448738086891	6.29468168123801e-48	4.5516843237032e-44
KRT81	10.9731229754402	0.444622619906641	0.166657200760147	2.66788724326734	0.00763298701941824	0.0833070304339086
TFF1	118.855990963634	0.302022525871805	0.117643416979532	2.56727094151263	0.0102502486092447	0.0929849767787974
AKAP12	0.424858690499237	0.271679918872457	0.331708086156687	0.819033150563971	0.412767500118484	0.567437603299763
ETHE1	0.473545966506978	0.257315581795055	0.122676918128889	2.09750608117421	0.0359487994172738	0.148355746471855
ZNF576	0.561942105498055	0.243043828183796	0.110703545572835	2.19544755252569	0.0281315092042055	0.13515132284792
GDF15	5.10870491683941	0.235638157799201	0.101806050391212	2.31457911286912	0.020635977051202	0.117909037505128
SHISA4	1.09486311929553	0.235121259742358	0.0923504261535383	2.54596832451487	0.0108975076323001	0.0946657817003159
SHC1	1.02571181107836	0.230928941956444	0.0828952781238493	2.78579126800716	0.00533972435519608	0.0727147774245251
ASB1	0.552062254292856	0.220096059036106	0.107814291634308	2.04143676779552	0.0412074329688863	0.155517196136752
CRIP2	0.754609730275479	0.202727896314821	0.124426679912654	1.62929603568249	0.103250364982082	0.246160035999154
SPATC1L	1.18014026591857	0.193348030737515	0.0814114543521013	2.37494873757313	0.0175513875505007	0.113501284126588
TMEM120A	0.686802370096181	0.192538262911451	0.101507127252188	1.89679550710859	0.0578549325437991	0.180322852251815
OTUD5	0.817200325375014	0.187088729614056	0.0974694145538104	1.91946089417383	0.0549260307995818	0.175816790045054
METRN	1.66945009503568	0.184324303782251	0.0979015823318358	1.88275101782816	0.0597341179421831	0.183249483392287
PKIB	0.686005644806389	0.182835259056001	0.120260685128746	1.52032444235841	0.128429453880022	0.277594514080676
ORC4	0.762337391642326	0.18267533085494	0.101230878976115	1.80454158555753	0.0711464460742425	0.200178969479707
FAM50A	2.16325647897424	0.180620011943277	0.0827884607220202	2.18170515997086	0.0291312998637188	0.136650299584858
BIN1	0.894893089882866	0.175860678225585	0.0892305149546008	1.97085804463933	0.0487401152209671	0.166323630562913
TIMM44	0.818674993814677	0.171825741791261	0.0981345298187988	1.75092031427194	0.0799596370669654	0.213300216697697
S100P	2.85077804820864	0.168645208352541	0.164734832018211	1.02373739837788	0.305959325965174	0.465668494788013
SLCO4A1	0.445398262681674	0.168101658164412	0.122767059666246	1.36927331013232	0.170913857646586	0.323782579157051
PHYH	0.604976562180173	0.168087360777466	0.116109437885605	1.44766320325373	0.147711265657641	0.299521167200723
NME2	0.523916611018298	0.16209662768469	0.11548993714733	1.40355628973894	0.160451018896105	0.312309582159256
C11orf49	0.559709197626645	0.16000754904811	0.114828215016437	1.39345150514797	0.163483299987559	0.315660278293735
RP5-1065J22.8	0.574806698749589	0.158331073451603	0.117293565296424	1.34987007216866	0.177057663045793	0.331170191796205
NIT1	0.62805122451837	0.158323528675449	0.108566649292726	1.45830722147982	0.144755880614904	0.2970288798883
SPCS3	2.08672118279457	0.157373119780111	0.0724589251661444	2.17189420653512	0.0298636435702978	0.13819037161417
PDLIM7	5.35401010236334	0.157353614367632	0.0720959336784606	2.18255879824528	0.0290683167715407	0.13660530382548
CDH1	0.808234030803764	0.156772205972229	0.100833066463008	1.55476979399156	0.120000905481419	0.26625546104208
SAT1	21.9632964937369	0.155699500451526	0.0855525730940474	1.81992773356293	0.068770010821726	0.196551758202332
MPND	0.425440814066566	0.155360566043019	0.125502998254534	1.2379032230603	0.215751947115276	0.372695253127224
MARCKS	1.76702921050934	0.153311775062028	0.100260997187874	1.52912677274439	0.126233019436522	0.274441059394315
TXNDC17	1.89483514210734	0.1524206482559	0.0733540283784342	2.07787699769617	0.0377206896384725	0.151028962777295
PRCC	1.95585897361643	0.150662961263657	0.0687772950416136	2.19059154874438	0.028481363274959	0.135483034575163
ETFB	1.74835231352827	0.148762379435237	0.0779247941257569	1.90905065716518	0.0562555571360097	0.178257639636497
NIPA2	1.09913877285062	0.148098553243697	0.0883508376673072	1.6762552246689	0.0936882112089209	0.232086144313706
DNAL1	1.23128075410129	0.147742129607061	0.0813877506889489	1.81528704696248	0.0694798085292593	0.197565275452251
ST20	1.0768557087175	0.147692095870697	0.0889525246535226	1.66034743191348	0.0968445788572486	0.236783881731159
FGB	0.361940687296834	0.139944079856679	0.314269878320386	0.445299055081604	0.656103650644688	0.767187176230876
RHOD	3.42928075191466	0.139721636929374	0.0657469074716274	2.12514386307326	0.0335746105133345	0.143911089876658
SMAP1	2.43842521263241	0.13937517355178	0.0678040332370421	2.0555587462552	0.0398250676699017	0.153471064422546
RPS6KB2	3.79515425588361	0.139107223651708	0.057153245799257	2.43393392109878	0.014935721429856	0.107602240003025
MMAB	0.773395941409359	0.138044588213522	0.098665787391183	1.39911302451996	0.161779092594561	0.313735969155629
PTPLA	2.43202066599242	0.137947239979757	0.0667415519929744	2.06688690718906	0.0387448117343543	0.152262898723432
BEST1	1.13582519551516	0.137274888670729	0.0815039401689848	1.68427303497367	0.092128914154775	0.229718682156268
CHCHD3	6.21484735902202	0.136631179622253	0.050814851257884	2.68880408463371	0.00717084910762962	0.0820075933524615
RP11-864N7.2	4.08510515675397	0.135995685935117	0.0482220438339392	2.8201974682666	0.00479941051134494	0.07030466832159
GPX3	20.9141582705922	0.134998854991836	0.0455770950054449	2.96198902048735	0.00305658683292866	0.0613949427469643
CBR3	3.81362732658951	0.134867087858899	0.0802672143809008	1.68022634022029	0.0929132863189304	0.230719771075613
NTPCR	0.775913913892939	0.134781086666514	0.0958554531621476	1.40608679235515	0.159698353814182	0.312102377413608
G6PD	4.31118972113462	0.134015512042037	0.0660750555444163	2.02823154574497	0.0425366217324475	0.157572905608262
NBEAL1	1.13249304941601	0.133804981736927	0.0794624279499605	1.68387733912671	0.0922053766142395	0.229830085590336
RP4-568C11.4	0.890736620126419	0.133023109905872	0.105349566086954	1.26268303560052	0.206703113081585	0.363666717930155
HSCB	1.19762469502087	0.132599234097464	0.0818576404314712	1.61987608485334	0.105258898059445	0.249056439187573
