baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
DNAJC25	0.375447298526172	2.60057303775916	0.883616345427385	2.94310200486538	0.00324941333065964	0.999448182811212
PDDC1	0.1907473964408	2.59046567862625	2.00181396368729	1.29405915115842	0.195644989906037	0.999448182811212
HID1	0.258143303057881	2.51601459049917	1.22535068607114	2.05330165404837	0.0400433305562718	0.999448182811212
MVK	0.256327587594881	2.47306681051177	1.29640902574445	1.90762850412248	0.0564392483424588	0.999448182811212
CCDC115	0.472703625324628	2.38733267055677	0.806705534477642	2.95936071902942	0.00308278019763938	0.999448182811212
MRPS17.1	0.387190640825988	2.37637326131431	0.867698473243399	2.73870858897744	0.00616810189514979	0.999448182811212
TTC39C	0.804816925076327	2.26177785444988	0.599340141377485	3.77378002623277	0.000160792550218951	0.919065482223447
ORMDL3	0.244125797227951	2.25934082379899	1.38653591947947	1.62948596719166	0.103210183161813	0.999448182811212
TOX2	0.393625795887167	2.25800023081875	0.950621092613926	2.37528942747306	0.0175351944376217	0.999448182811212
UBA6	0.413888586254467	2.22989666764851	0.975242159921551	2.28650560782553	0.0222246964315307	0.999448182811212
LINC00936	0.207997093572516	2.16600704869413	1.82333754767923	1.18793530657615	0.234858898381865	0.999448182811212
IRF2BP1	0.209079694866498	2.15839290265411	1.74194726558099	1.23906902654383	0.215319936331391	0.999448182811212
LINC01534	0.466203995407871	2.1463338151542	0.957205920046562	2.2422905774024	0.0249425983439134	0.999448182811212
WDR20	0.482331541223732	2.14624145987879	0.847599862679963	2.53213993345014	0.011336873813534	0.999448182811212
TXNDC11	0.372635929350366	2.10735642861203	0.905581094494856	2.32707643901018	0.0199611972616835	0.999448182811212
MYCBP2	0.41588485493031	2.10413753722991	0.96348451812921	2.18388308025488	0.0289708406150002	0.999448182811212
RLIM	0.411553336426319	2.077911876627	0.870516820027307	2.38698647610487	0.0169871161531625	0.999448182811212
SPRYD4	0.416286999821286	2.07124640095278	0.811640155710912	2.55192696711585	0.0107128972224627	0.999448182811212
COL18A1	0.194512649883075	2.05161940131536	1.88158379013175	1.09036834398521	0.27555092054559	0.999448182811212
TCTA	0.645873778384287	2.05047842507493	0.747444201213495	2.74331973108618	0.00608214328044042	0.999448182811212
AGR2	1.02479650026363	2.03259965702864	1.59600524080667	1.27355450036072	0.20282134600602	0.999448182811212
FUT8	0.203002200369245	2.02448345433512	1.88373231740492	1.07471928767676	0.282500425726975	0.999448182811212
FGB	0.361940687296834	2.01708906521329	3.00103781223998	0.672130506648875	0.501500616903965	0.999448182811212
EHD4	0.339027065271495	2.01289616258787	1.07259010300765	1.87666859590025	0.0605635293586628	0.999448182811212
NAV2	0.270096432295331	2.00532303917864	2.02816222725846	0.988738973750291	0.322790869053791	0.999448182811212
ANKRD29	0.54764771379653	2.00432804022525	0.766608434910539	2.61453950798121	0.00893478265149703	0.999448182811212
AC092839.1	0.218840642565203	1.98415422260726	1.63957095833058	1.21016672839066	0.226214922271573	0.999448182811212
MYCBP	0.361979423925555	1.97869075634523	0.994195831865485	1.99024245820108	0.0465642332798321	0.999448182811212
RP11-792A8.4	0.349521853981939	1.97562055040615	1.03970386766974	1.90017620578257	0.0574099997305243	0.999448182811212
ARRB2	0.415451626980269	1.94953369225442	0.890289514033704	2.18977496816908	0.0285405609928111	0.999448182811212
APPL1	1.19630114568098	1.94646492908397	0.618493123467566	3.14710844022188	0.00164893795126039	0.999448182811212
ELP6	0.466717848094157	1.942507552825	0.870503076394784	2.23147695338419	0.0256495524607129	0.999448182811212
C17orf70	0.176095001473471	1.94091511142029	2.11610230080657	0.917212325075443	0.359031389527561	0.999448182811212
TMEM99	0.180731371903239	1.94086493819564	2.20650221944947	0.879611595713642	0.379069754966094	0.999448182811212
MIR503HG	0.416026017167012	1.93818306559715	1.37429030253721	1.41031560945958	0.158446511423999	0.999448182811212
ZNF92	0.191101787412885	1.93118940961398	2.09746173819563	0.920726883568951	0.357193036804433	0.999448182811212
PPM1N	0.169551503183751	1.92841885357477	2.09810665854606	0.919123365687765	0.358031049025378	0.999448182811212
UBR2	0.386777085880657	1.92475501931815	1.03019005997426	1.86834943773991	0.0617133798572397	0.999448182811212
RHOV	0.631768950533716	1.92199695364537	1.39210669913983	1.38063910965514	0.167389951922	0.999448182811212
TP53I11	0.236866960470028	1.91507019333053	1.56570824601295	1.22313349131757	0.221279280781021	0.999448182811212
MAP2K7	0.416799988306019	1.90765799215521	0.934089443504281	2.04226480175019	0.0411252715704925	0.999448182811212
MTERF2	0.186276919148528	1.90753783271713	2.03750495879311	0.936212608703065	0.349163732599753	0.999448182811212
PHLPP2	0.187205806514531	1.90594723196821	1.86001964086092	1.02469199254586	0.305508542513281	0.999448182811212
MYO9A	0.191306609154888	1.90567453758161	1.98934858015734	0.957938973888069	0.338093532175547	0.999448182811212
PIGF	0.33148114546975	1.9005483901817	1.07682351971622	1.76495809701719	0.0775708084026929	0.999448182811212
NRIP1	0.384280408729397	1.89623035624802	1.14493829057851	1.6561856406164	0.0976842302678982	0.999448182811212
RPL6P27	0.167933778491007	1.8937052003016	1.97551692926463	0.958587179005609	0.337766753937489	0.999448182811212
CDK2AP2	2.61560270073194	1.89101944736445	0.51695595718249	3.65798946910462	0.000254201488652592	0.919065482223447
