	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
KRT81	10.9731229754402	0.455187104734257	0.146273536903787	3.11188964435624	0.00185893975473673	0.205538417116126
NOC2L	2.95937743400831	0.439808880912448	0.0534349781400912	8.23073006148509	1.86075860210585e-16	1.34551454518274e-12
HSPA1A	25.8960203861785	0.411533807506755	0.074035214496131	5.55862247860795	2.71912117826118e-08	6.55398841333552e-05
CCNB1	0.997472448465197	0.360915768059162	0.0985377410008899	3.66271607602515	0.000249555092725305	0.0651361631618065
KRT19	3.07392948880768	0.35189581581289	0.0890968614741953	3.94958711216565	7.82861163555154e-05	0.0332992298451019
LAMP2	1.17571670766326	0.337417061006441	0.0898439361815787	3.75559080942877	0.000172933042027336	0.0568399466772574
PRSS8	1.13817835893003	0.331946499837065	0.0875780264053491	3.7902943633449	0.000150468859280677	0.0518114438789799
HSPA5	6.97500830798218	0.325297327605243	0.0831179858596476	3.91368154847421	9.08994993038843e-05	0.0365163488592438
UBC	42.0965173038601	0.286798035729768	0.05783491163536	4.95890851425493	7.08903388064702e-07	0.000859624792714105
INF2	0.556239386691297	0.285896339803894	0.103306293027005	2.76746296306613	0.00564944642652743	0.324215453255713
GDF15	5.10870491683941	0.280344576370079	0.0902956057539482	3.10474218572725	0.00190444944638092	0.205538417116126
DPP3	0.692781436728606	0.274433449619074	0.105502977760351	2.60119150610562	0.00929005775905778	0.413001788567998
MDH1	1.19208387985349	0.271738521322969	0.0873980632356863	3.10920529886539	0.00187591321015386	0.205538417116126
COPB1	0.487098463132018	0.26531127705344	0.12595326470036	2.10642636127463	0.0351673334434598	0.58831270747938
TUBA4A	4.47161295030438	0.264725285049974	0.0742690643355673	3.56440851138065	0.000364677619839992	0.0849039736805342
MVD	1.38583372050584	0.263185442911978	0.0765592460694462	3.43767025439677	0.00058674173230357	0.104314441085796
CPSF3L	0.951427098774903	0.256293175365117	0.0878743096845942	2.91658820746389	0.00353882644568612	0.268077499913285
POR	0.854368266377421	0.253423127906245	0.0974530960725549	2.60046256219063	0.00930981766513396	0.413001788567998
ULBP2	0.881949198778674	0.251793883892795	0.105613302459123	2.38411145215587	0.0171204164716008	0.484509098296833
ATP2C1	0.542248444304893	0.245785163488121	0.108752908705591	2.2600330088963	0.0238192022538426	0.523597053675104
RPN2	2.06864470019808	0.244881552568297	0.0762104971705653	3.21322602082272	0.00131252956407472	0.179073609015553
CLDN4	4.79224500940562	0.242025089274862	0.0612750563799144	3.94981422414808	7.82118736534459e-05	0.0332992298451019
QSOX1	0.700649907568569	0.240033117543134	0.0994930574123929	2.41256147701051	0.0158408657300626	0.473327686339186
ACTR1A	0.845250980269113	0.23991039586528	0.0905442478443754	2.64964811765437	0.00805756441172193	0.385855948749412
IDH3B	1.67572500413133	0.238711134347896	0.070745996091185	3.37419991995334	0.00074030581322864	0.121662530351279
LAP3	0.677602858488725	0.229646220169994	0.110924846989778	2.07028656249719	0.0384255171903651	0.594600731405251
ENO1	10.0673590263009	0.225193639668141	0.0548792847206985	4.10343612921045	4.07058866587453e-05	0.0245286888691156
TRABD	0.674813875806433	0.223055908194207	0.0947850910003002	2.35328051954395	0.0186085897774677	0.489304409748614
TACSTD2	1.62420001263256	0.21975266381675	0.100608132859179	2.18424353550362	0.0289443574244276	0.557739439877317
LMAN1	0.646814615573553	0.218851142593287	0.105216969278518	2.07999854105254	0.0375256666878802	0.594600731405251
FBXO21	0.55591709619157	0.213259531945763	0.106926843791493	1.99444334447595	0.0461036256683554	0.602375231414416
USP5	0.975131435102562	0.212482494331493	0.0900355584965398	2.35998418713267	0.0182757140576679	0.489304409748614
MYO6	0.576083609482727	0.211350050921491	0.111856708725161	1.88947139005128	0.0588286928528244	0.637274353774614
NFYC	0.365246909899382	0.210602871386562	0.127840512367987	1.64738757288727	0.0994784080302054	0.677972072070137
PGK1	3.85496639191708	0.209377641163694	0.0680020600918392	3.07898967885565	0.00207703877337359	0.213616531928834
NASP	0.571739740322938	0.206067596164821	0.120341907098017	1.71235109309828	0.0868319861645436	0.665548865728764
HSP90B1	5.3450655604899	0.20599857295174	0.0690293335895085	2.98421790041805	0.00284304226395101	0.24984491438919
EEF1A2	7.61333303229874	0.205845752511554	0.0594372972435326	3.46324214016902	0.000533707871481414	0.101558989965318
LRPAP1	1.74205800059179	0.203686055401325	0.0727090684173601	2.80138447424659	0.00508838561711985	0.317086089201066
PRSS22	1.20385445183032	0.203578251596043	0.0902459458668621	2.25581603295928	0.0240821548203392	0.523597053675104
C9orf3	0.512037807697416	0.203091327732717	0.114555246288525	1.77286797691657	0.0762505861050719	0.663799496105024
TERF1	0.876868918841352	0.200759487548275	0.0880921576264583	2.27897117016438	0.0226687791327837	0.520880000047698
PPAN	1.06239157280611	0.200584478617451	0.0833512406720029	2.40649661601049	0.0161063532417236	0.474891667606775
TFPI2	0.722828072621011	0.199589613743037	0.130969745445521	1.52393679215066	0.127524501515051	0.688527914595836
ISY1	0.863620538487332	0.199058954321321	0.0925339241765348	2.1511997474738	0.0314604369701616	0.567645585877559
PTDSS1	1.06535267991062	0.198402166714623	0.0782603674490183	2.53515506228448	0.0112397561064613	0.435416136765931
PPP5C	0.662010536135348	0.19686343594257	0.095825319814064	2.05439894512804	0.0399370950859149	0.594600731405251
HSPBP1	0.985633052852855	0.19618296880796	0.0840398069192398	2.33440527768569	0.0195745107024562	0.498234559422335
RHOT2	0.727265008487275	0.195458238620977	0.0949105965744365	2.05939321504194	0.0394565852107939	0.594600731405251
